#  Contiguous U.S. Cooling Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
189501,7
189502,1
189503,14
189504,28
189505,90
189506,227
189507,259
189508,286
189509,193
189510,32
189511,9
189512,3
189601,4
189602,4
189603,10
189604,46
189605,164
189606,224
189607,322
189608,303
189609,140
189610,39
189611,20
189612,4
189701,3
189702,10
189703,29
189704,30
189705,85
189706,209
189707,336
189708,266
189709,164
189710,58
189711,14
189712,5
189801,9
189802,5
189803,21
189804,24
189805,109
189806,238
189807,324
189808,301
189809,180
189810,39
189811,11
189812,3
189901,7
189902,5
189903,18
189904,23
189905,129
189906,238
189907,305
189908,300
189909,145
189910,57
189911,12
189912,5
190001,5
190002,5
190003,13
190004,28
190005,104
190006,224
190007,320
190008,333
190009,191
190010,75
190011,13
190012,4
190101,6
190102,3
190103,10
190104,14
190105,91
190106,229
190107,393
190108,306
190109,138
190110,51
190111,7
190112,3
190201,4
190202,2
190203,16
190204,31
190205,133
190206,210
190207,300
190208,263
190209,130
190210,53
190211,22
190212,6
190301,6
190302,8
190303,23
190304,21
190305,92
190306,139
190307,287
190308,255
190309,130
190310,38
190311,9
190312,2
190401,4
190402,9
190403,25
190404,26
190405,93
190406,192
190407,263
190408,247
190409,162
190410,49
190411,8
190412,4
190501,3
190502,5
190503,23
190504,29
190505,116
190506,210
190507,289
190508,277
190509,171
190510,48
190511,15
190512,4
190601,7
190602,5
190603,8
190604,32
190605,95
190606,212
190607,291
190608,302
190609,190
190610,35
190611,14
190612,7
190701,17
190702,7
190703,42
190704,21
190705,66
190706,156
190707,302
190708,256
190709,157
190710,43
190711,10
190712,5
190801,6
190802,4
190803,32
190804,51
190805,101
190806,196
190807,318
190808,259
190809,153
190810,31
190811,13
190812,9
190901,12
190902,7
190903,17
190904,32
190905,83
190906,219
190907,278
190908,287
190909,137
190910,42
190911,21
190912,3
191001,5
191002,4
191003,27
191004,26
191005,81
191006,174
191007,320
191008,266
191009,176
191010,52
191011,8
191012,2
191101,12
191102,11
191103,21
191104,33
191105,121
191106,248
191107,315
191108,272
191109,196
191110,58
191111,12
191112,8
191201,5
191202,2
191203,13
191204,35
191205,111
191206,168
191207,296
191208,244
191209,165
191210,55
191211,8
191212,8
191301,15
191302,7
191303,17
191304,21
191305,92
191306,197
191307,323
191308,303
191309,133
191310,32
191311,17
191312,5
191401,6
191402,5
191403,6
191404,28
191405,102
191406,243
191407,313
191408,279
191409,135
191410,49
191411,11
191412,5
191501,5
191502,5
191503,2
191504,26
191505,95
191506,181
191507,276
191508,239
191509,167
191510,58
191511,15
191512,3
191601,15
191602,5
191603,15
191604,21
191605,109
191606,167
191607,336
191608,292
191609,130
191610,43
191611,10
191612,6
191701,11
191702,5
191703,17
191704,25
191705,48
191706,191
191707,323
191708,269
191709,128
191710,35
191711,6
191712,2
191801,2
191802,11
191803,28
191804,23
191805,121
191806,233
191807,275
191808,324
191809,105
191810,68
191811,9
191812,6
191901,5
191902,5
191903,15
191904,26
191905,85
191906,224
191907,324
191908,266
191909,158
191910,89
191911,16
191912,5
192001,7
192002,4
192003,9
192004,26
192005,88
192006,187
192007,276
192008,254
192009,167
192010,45
192011,8
192012,5
192101,10
192102,8
192103,38
192104,27
192105,87
192106,245
192107,364
192108,270
192109,223
192110,48
192111,19
192112,9
192201,6
192202,11
192203,15
192204,39
192205,118
192206,234
192207,302
192208,274
192209,187
192210,52
192211,15
192212,12
192301,12
192302,7
192303,15
192304,31
192305,85
192306,217
192307,295
192308,267
192309,159
192310,34
192311,6
192312,10
192401,6
192402,3
192403,5
192404,27
192405,72
192406,215
192407,268
192408,292
192409,121
192410,46
192411,14
192412,8
192501,10
192502,9
192503,19
192504,47
192505,80
192506,266
192507,322
192508,271
192509,216
192510,44
192511,10
192512,4
192601,4
192602,7
192603,7
192604,21
192605,94
192606,186
192607,302
192608,301
192609,175
192610,63
192611,9
192612,9
192701,7
192702,16
192703,14
192704,43
192705,113
192706,174
192707,297
192708,220
192709,167
192710,60
192711,23
192712,4
192801,4
192802,7
192803,18
192804,18
192805,88
192806,169
192807,314
192808,303
192809,126
192810,65
192811,9
192812,4
192901,10
192902,7
192903,24
192904,44
192905,89
192906,191
192907,299
192908,275
192909,150
192910,46
192911,14
192912,4
193001,9
193002,11
193003,7
193004,40
