#  Contiguous U.S. Heating Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
189501,1006
189502,964
189503,683
189504,341
189505,154
189506,35
189507,19
189508,17
189509,59
189510,382
189511,595
189512,837
189601,907
189602,741
189603,727
189604,304
189605,117
189606,37
189607,7
189608,15
189609,102
189610,341
189611,552
189612,811
189701,978
189702,740
189703,638
189704,350
189705,167
189706,55
189707,10
189708,21
189709,62
189710,250
189711,573
189712,867
189801,878
189802,738
189803,564
189804,390
189805,171
189806,34
189807,9
189808,11
189809,55
189810,297
189811,636
189812,921
189901,928
189902,936
189903,694
189904,348
189905,168
189906,37
189907,10
189908,22
189909,84
189910,255
189911,510
189912,850
190001,849
190002,825
190003,684
190004,353
190005,145
190006,31
190007,10
190008,14
190009,63
190010,197
190011,535
190012,815
190101,891
190102,884
190103,643
190104,415
190105,173
190106,41
190107,8
190108,10
190109,85
190110,263
190111,628
190112,896
190201,950
190202,867
190203,591
190204,371
190205,152
190206,55
190207,15
190208,27
190209,95
190210,269
190211,470
190212,886
190301,921
190302,814
190303,530
190304,371
190305,148
190306,73
190307,17
190308,33
190309,87
190310,276
190311,626
190312,956
190401,1046
190402,850
190403,629
190404,427
190405,149
190406,48
190407,15
190408,26
190409,76
190410,302
190411,576
190412,904
190501,1022
190502,945
190503,554
190504,363
190505,177
190506,50
190507,11
190508,18
190509,68
190510,301
190511,574
190512,859
190601,813
190602,773
190603,769
190604,325
190605,171
190606,49
190607,9
190608,11
190609,50
190610,301
190611,586
190612,807
190701,854
190702,786
190703,526
190704,468
190705,250
190706,72
190707,12
190708,28
190709,81
190710,332
190711,599
190712,792
190801,884
190802,820
190803,551
190804,328
190805,174
190806,53
190807,7
190808,22
190809,59
190810,298
190811,547
190812,813
190901,838
190902,691
190903,668
190904,384
190905,198
190906,41
190907,17
190908,17
190909,87
190910,336
190911,464
190912,1004
191001,935
191002,846
191003,451
191004,302
191005,192
191006,55
191007,7
191008,24
191009,71
191010,236
191011,629
191012,931
191101,826
191102,731
191103,611
191104,404
191105,127
191106,43
191107,8
191108,21
191109,76
191110,298
191111,658
191112,793
191201,1101
191202,866
191203,762
191204,363
191205,152
191206,55
191207,14
191208,32
191209,82
191210,277
191211,560
191212,808
191301,818
191302,828
