#  Contiguous U.S. Palmer Z-Index
Date,Value
189501,4.4
189502,-1.35
189503,-1.27
189504,-2.02
189505,0.11
189506,0.51
189507,1.75
189508,0.73
189509,-2.67
189510,-1.87
189511,0.14
189512,0.17
189601,0.59
189602,0.18
189603,0.5
189604,-0.08
189605,-0.65
189606,-1.1
189607,0.77
189608,-2.03
189609,1.37
189610,0.67
189611,2.82
189612,-0.72
189701,0.8
189702,2.48
189703,4.03
189704,-0.15
189705,-2.51
189706,-0.11
189707,0.04
189708,-0.93
189709,-3.21
189710,-1.16
189711,-0.56
189712,-0.51
189801,-0.1
189802,-1
189803,-0.23
189804,-1.17
189805,1.09
189806,0.43
189807,1.14
189808,1.83
189809,-0.44
189810,1.83
189811,1.37
189812,0.08
189901,1.8
189902,1.15
189903,1.83
189904,-1.8
189905,-0.26
189906,0.28
189907,0.93
189908,-0.67
189909,-2.72
189910,0.78
189911,-1.43
189912,-0.66
190001,-1.84
190002,1.83
190003,-0.72
190004,2.55
190005,-1.8
190006,-0.22
190007,0.44
190008,-0.9
190009,1.18
190010,1.05
190011,0.48
190012,-1.31
190101,-1
190102,0.71
190103,-0.54
190104,0.79
190105,-0.99
190106,-0.77
190107,-2.39
190108,-0.09
190109,0.61
190110,-2.1
190111,-2.98
190112,-1.67
190201,-3.71
190202,-0.21
190203,1.12
190204,-1.69
190205,-0.35
190206,0.23
190207,1.54
190208,-0.2
190209,1.49
190210,-0.48
190211,1.56
190212,2.23
190301,1.93
190302,3.3
190303,1.28
190304,-1.06
190305,0.63
190306,0.93
190307,1.97
190308,2.74
190309,-0.1
190310,-0.67
190311,-0.59
190312,-2.06
190401,-2.09
190402,1.24
190403,1.68
190404,-0.42
190405,-0.78
190406,1.09
190407,1.46
190408,1.37
190409,-0.25
190410,-1.05
190411,-3.66
190412,-2.28
190501,-2.19
190502,0.41
190503,0.2
190504,1.16
190505,2.84
190506,1.52
190507,3.76
190508,1.39
190509,0.29
190510,1.02
190511,0.54
190512,1.07
190601,2.07
190602,-0.62
190603,3.54
190604,-1.7
190605,1.04
190606,0.97
190607,2.87
190608,3.89
190609,1.32
190610,0.64
190611,1.87
190612,3.05
190701,3.07
190702,-0.53
190703,-1.52
190704,0.79
190705,3.24
190706,1.71
190707,2.38
190708,1.39
190709,0.59
190710,0.04
190711,0.62
190712,1.46
190801,0.52
190802,2.6
190803,-1.78
190804,0.06
190805,4.03
190806,1.05
190807,1.94
190808,2.2
190809,-1.82
190810,0.52
190811,-1.39
190812,-1.76
190901,0.16
190902,2.57
190903,-0.69
190904,0.2
190905,1.25
190906,0.99
190907,1.96
190908,0.05
190909,-0.31
190910,-1.14
190911,0.97
190912,0.94
191001,0.77
191002,0.63
191003,-7.14
191004,-3.08
191005,-0.77
191006,-1.09
191007,-1.25
191008,-1.41
191009,-1.31
191010,-0.74
191011,-1.99
191012,-3.23
191101,-2.16
191102,-0.61
191103,-3.26
191104,1.49
191105,-2.94
191106,-3.04
191107,-1.16
191108,1.03
191109,0.3
191110,1.34
191111,0.51
191112,1.86
191201,0.93
191202,0.03
191203,4.01
191204,2.72
191205,-0.07
191206,0.14
191207,1.38
191208,2.6
191209,0.98
191210,0.5
191211,-1.44
191212,-0.65
191301,1.29
191302,0.05
191303,2.13
191304,-1.3
191305,-1
191306,-0.38
191307,-0.41
191308,-2.85
191309,2.09
191310,1.7
191311,-0.3
191312,0.03
191401,0.75
191402,0.57
191403,-1.91
191404,0.79
191405,-1.48
191406,-0.36
191407,-1.53
191408,1.4
191409,-0.84
191410,0.69
191411,-2.42
191412,-0.88
191501,0.33
191502,2.13
191503,-2.04
191504,-1.69
191505,3.63
191506,1.74
191507,4.31
191508,5.19
191509,1.72
191510,-0.57
191511,0.52
191512,2.16
191601,5.54
191602,-0.39
191603,-1.42
191604,-0.79
191605,0.35
191606,1.8
191607,2.34
191608,0.75
191609,-0.9
191610,0.59
191611,-1.37
191612,-0.66
191701,-0.44
191702,-0.2
191703,0.64
191704,1.47
191705,1.23
191706,-0.65
191707,-0.44
191708,-0.36
191709,-0.7
191710,-1
191711,-4.39
191712,-4.27
191801,-3.28
191802,-3.35
191803,-3.36
191804,1.75
191805,-1.06
191806,-2.64
191807,-2.18
191808,-1.48
191809,0.57
191810,1.45
191811,0.37
191812,0.8
191901,0.06
191902,2.17
191903,0.71
191904,-0.24
191905,0.98
191906,0.14
191907,1.16
191908,-0.05
191909,-0.61
191910,4.01
191911,3.15
191912,1.72
192001,1.79
192002,-0.91
192003,1.09
192004,3.87
192005,0.08
192006,0.47
192007,0.58
192008,3.37
192009,-0.03
192010,0.15
192011,0.72
192012,1.66
192101,1.12
192102,-0.89
192103,-1.57
192104,0.98
192105,-0.88
192106,-0.5
192107,-0.38
192108,-0.3
192109,-0.35
192110,-2.16
192111,-0.44
192112,-1.31
192201,-1.48
192202,1.6
192203,3.15
192204,2.02
192205,0.25
192206,-0.95
192207,0.35
192208,-1.37
192209,-3.79
192210,-1.42
192211,-1.38
192212,-0.84
192301,-0.69
192302,-0.06
192303,0.44
192304,1.5
192305,0.98
192306,1.5
192307,0.95
192308,1.86
192309,1.18
192310,2.05
192311,-0.14
192312,1.83
192401,1.28
192402,-0.47
192403,0.1
192404,-0.3
192405,-0.4
192406,-0.28
192407,-0.62
192408,-1.33
192409,1.87
192410,-1.8
192411,-3
192412,-1.3
192501,-1.34
192502,-1.09
192503,-3.79
192504,-2.37
192505,-2.69
192506,-0.64
192507,-1.33
192508,-2.22
192509,0.41
192510,3.62
192511,0.76
192512,-0.37
192601,0.82
